month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
2,19977,UA,UA,United Air Lines Inc.,3,119312158,47970572,47881165,28457222,124308959,243621117,120087215,124665157,244752372,229838806,91564050,91129457,58249915,240943422,470782228,231327828,241611991,472939819,2019
2,19393,WN,WN,Southwest Airlines Co.,3,146808596,0,0,1759751,1759751,148568347,146910807,1759751,148670558,289139878,0,0,4222874,4222874,293362752,289336674,4222874,293559548,2019
3,19805,AA,AA,American Airlines Inc.,3,193300520,39602165,18989484,49281517,107873166,301173686,193844696,108126311,301971007,377335558,78539440,37331130,100988984,216859554,594195112,378410499,217383476,595793975,2019
3,19930,AS,AS,Alaska Airlines Inc.,3,59205964,0,0,1342907,1342907,60548871,59266999,1342907,60609906,131021319,0,0,3487341,3487341,134508660,131141759,3487341,134629100,2019
3,19790,DL,DL,Delta Air Lines Inc.,3,187116451,51208157,29039222,29626719,109874098,296990549,189695114,110256891,299952005,379215596,103779928,58851724,60042363,222674015,601889611,385807332,223449795,609257127,2019
3,19977,UA,UA,United Air Lines Inc.,3,147713026,59512296,55608646,34000681,149121623,296834649,148464310,149383772,297848082,293660063,118095979,111813272,72117501,302026752,595686815,295178703,302550240,597728943,2019
3,19393,WN,WN,Southwest Airlines Co.,3,177681157,0,0,2488121,2488121,180169278,177789535,2488121,180277656,352911927,0,0,6073530,6073530,358985457,353137046,6073530,359210576,2019
4,19805,AA,AA,American Airlines Inc.,3,180184898,49277957,18132384,42916293,110326634,290511532,180567823,110440799,291008622,362560543,99573979,36677163,90155938,226407080,588967623,363320993,226648425,589969418,2019
4,19930,AS,AS,Alaska Airlines Inc.,3,58372355,0,0,1293697,1293697,59666052,58432767,1293697,59726464,133673299,0,0,3411283,3411283,137084582,133797164,3411283,137208447,2019
4,20409,B6,B6,JetBlue Airways,3,59527739,0,0,15649373,15649373,75177112,59527739,15649373,75177112,128724788,0,0,33840732,33840732,162565520,128724788,33840732,162565520,2019
4,19790,DL,DL,Delta Air Lines Inc.,3,178154335,62537834,29643566,23576826,115758226,293912561,180070679,116040467,296111146,359449469,126178189,59809739,47569302,233557230,593006699,364498097,234126688,598624785,2019
4,20416,NK,NK,Spirit Air Lines,3,33760047,0,0,4911255,4911255,38671302,33760047,4911255,38671302,74222807,0,0,10797590,10797590,85020397,74222807,10797590,85020397,2019
4,19977,UA,UA,United Air Lines Inc.,3,144590058,60523632,51831017,31206029,143560678,288150736,145411013,143673409,289084422,294430837,122350380,106637727,66383872,295371979,589802816,296103451,295602761,591706212,2019
4,19393,WN,WN,Southwest Airlines Co.,3,171401778,0,0,1931660,1931660,173333438,171492052,1931660,173423712,343356856,0,0,4787040,4787040,348143896,343556447,4787040,348343487,2019
5,19805,AA,AA,American Airlines Inc.,3,195424647,61637649,19301832,43014750,123954231,319378878,195785035,124187098,319972133,400384570,126601880,40130901,92299450,259032231,659416801,401108088,259545007,660653095,2019
5,19930,AS,AS,Alaska Airlines Inc.,3,61891326,0,0,846925,846925,62738251,61930261,846925,62777186,149060140,0,0,2331235,2331235,151391375,149141897,2331235,151473132,2019
5,20409,B6,B6,JetBlue Airways,3,59139308,0,0,15399970,15399970,74539278,59139308,15399970,74539278,132733065,0,0,34563901,34563901,167296966,132733065,34563901,167296966,2019
5,19790,DL,DL,Delta Air Lines Inc.,3,186758571,74949599,31995527,22808196,129753322,316511893,188366304,129806984,318173288,383651451,153966280,65727267,46854062,266547609,650199060,388155077,266657846,654812923,2019
5,20368,G4,G4,Allegiant Air,3,15895717,0,0,0,0,15895717,16288199,206601,16494800,36874836,0,0,0,0,36874836,37843745,493218,38336963,2019
5,20416,NK,NK,Spirit Air Lines,3,37152807,0,0,4970557,4970557,42123364,37152807,4970557,42123364,83576243,0,0,11181402,11181402,94757645,83576243,11181402,94757645,2019
5,19977,UA,UA,United Air Lines Inc.,3,153202004,73294536,54098845,27860083,155253464,308455468,153949739,155465624,309415363,322624581,152795530,115391388,60866483,329053401,651677982,324208102,329510626,653718728,2019
5,19393,WN,WN,Southwest Airlines Co.,3,177347813,0,0,2473278,2473278,179821091,177441553,2473278,179914831,371652892,0,0,6309955,6309955,377962847,371853619,6309955,378163574,2019
6,19805,AA,AA,American Airlines Inc.,3,195670252,67039590,19020928,45291083,131351601,327021853,195915483,131521720,327437203,373907739,130140181,37402156,94460076,262002413,635910152,374377915,262365817,636743732,2019
6,19790,DL,DL,Delta Air Lines Inc.,3,196666953,83530097,31788396,22790222,138108715,334775668,198074942,138108715,336183657,416406190,176859655,67306095,48254113,292419863,708826053,420444587,292419863,712864450,2019
6,20416,NK,NK,Spirit Air Lines,3,36737363,0,0,4914976,4914976,41652339,36737363,4914976,41652339,75170578,0,0,10056835,10056835,85227413,75170578,10056835,85227413,2019
6,19977,UA,UA,United Air Lines Inc.,3,158802116,75616971,53292139,31692487,160601597,319403713,159500662,160737489,320238151,306347461,147753982,106826039,65593766,320173787,626521248,307713727,320455909,628169636,2019
6,19393,WN,WN,Southwest Airlines Co.,3,176316720,0,0,2713632,2713632,179030352,176417715,2713632,179131347,351393094,0,0,6375770,6375770,357768864,351593930,6375770,357969700,2019
7,19805,AA,AA,American Airlines Inc.,3,200601221,70341415,20023724,47225419,137590558,338191779,200831199,137763844,338595043,385858147,136632087,38137388,97101514,271870989,657729136,386300528,272226731,658527259,2019
7,19930,AS,AS,Alaska Airlines Inc.,3,66937916,0,0,623643,623643,67561559,66996749,623643,67620392,145117185,0,0,1576430,1576430,146693615,145232985,1576430,146809415,2019
7,19790,DL,DL,Delta Air Lines Inc.,3,206257947,87307829,33130839,23280029,143718697,349976644,207363151,143769991,351133142,403679204,170875137,64842256,45562675,281280068,684959272,407109894,281380458,688490352,2019
7,19690,HA,HA,Hawaiian Airlines Inc.,3,16087016,0,7194376,0,7194376,23281392,16087016,7194376,23281392,31347956,0,13709257,0,13709257,45057213,31347956,13709257,45057213,2019
7,19977,UA,UA,United Air Lines Inc.,3,163602359,76391495,54888033,33224952,164504480,328106839,164295066,164694081,328989147,318916771,149560487,106573191,68329653,324463331,643380102,320251056,324816300,645067356,2019
7,19393,WN,WN,Southwest Airlines Co.,3,182539375,0,0,2459214,2459214,184998589,182640130,2459214,185099344,362437125,0,0,5797137,5797137,368234262,362654100,5797137,368451237,2019
8,19805,AA,AA,American Airlines Inc.,3,202894574,70336377,20270807,44174310,134781494,337676068,203192653,135003848,338196501,381039943,134812431,38814044,90720075,264346550,645386493,381593620,264788688,646382308,2019
8,20409,B6,B6,JetBlue Airways,3,60585417,0,0,19173518,19173518,79758935,60585417,19173518,79758935,124292370,0,0,39334911,39334911,163627281,124292370,39334911,163627281,2019
8,19790,DL,DL,Delta Air Lines Inc.,3,205778169,87613874,33320826,23272261,144206961,349985130,206920890,144206961,351127851,391476743,166678488,63390244,44273642,274342374,665819117,394893012,274342374,669235386,2019
8,20436,F9,F9,Frontier Airlines Inc.,3,25512256,0,0,520291,520291,26032547,25512256,520291,26032547,46146191,0,0,1223415,1223415,47369606,46146191,1223415,47369606,2019
8,19690,HA,HA,Hawaiian Airlines Inc.,3,16136273,0,7592735,0,7592735,23729008,16190448,7592735,23783183,30475345,0,14487191,0,14487191,44962536,30576646,14487191,45063837,2019
8,19977,UA,UA,United Air Lines Inc.,3,162360183,75508731,55800390,29621923,160931044,323291227,163531864,161156564,324688428,308413848,145753696,109459063,60135055,315347814,623761662,310650235,315782939,626433174,2019
8,19393,WN,WN,Southwest Airlines Co.,3,175218927,0,0,1702372,1702372,176921299,175268660,1702372,176971032,342805103,0,0,3911530,3911530,346716633,342904670,3911530,346816200,2019
9,19805,AA,AA,American Airlines Inc.,3,181813413,67638705,19477349,34306860,121422914,303236327,182204854,121649993,303854847,345924380,129770834,36726420,68621603,235118857,581043237,346653565,235586871,582240436,2019
9,19930,AS,AS,Alaska Airlines Inc.,3,58265437,0,0,412339,412339,58677776,58438446,412339,58850785,124638578,0,0,1012403,1012403,125650981,124973656,1012403,125986059,2019
9,19790,DL,DL,Delta Air Lines Inc.,3,174872651,77709987,30630186,19138771,127478944,302351595,176327569,127564141,303891710,346038440,153772717,60611089,37871849,252255655,598294095,349929240,252424244,602353484,2019
9,19977,UA,UA,United Air Lines Inc.,3,141650742,76362770,51251749,21997143,149611662,291262404,142963521,149948902,292912423,269880307,146157283,98447438,43893813,288498534,558378841,272383646,289135932,561519578,2019
9,19393,WN,WN,Southwest Airlines Co.,3,161363187,0,0,1035797,1035797,162398984,161469375,1035797,162505172,317050854,0,0,2343476,2343476,319394330,317265738,2343476,319609214,2019
1,19805,AA,AA,American Airlines Inc.,3,173505482,35052146,24241613,50238019,109531778,283037260,174171571,109802500,283974071,337146683,69965049,47361096,104353301,221679446,558826129,338396257,222238669,560634926,2018
1,19790,DL,DL,Delta Air Lines Inc.,3,155927269,46437915,29704100,30677967,106819982,262747251,157691468,106874624,264566092,321399594,95718517,61226531,63233879,220178927,541578521,326289455,220291555,546581010,2018
1,19977,UA,UA,United Air Lines Inc.,3,120128303,49380913,54011106,31260979,134652998,254781301,120886857,135095219,255982076,237636702,97620436,105935311,64407817,267963564,505600266,239129660,268814169,507943829,2018
1,19393,WN,WN,Southwest Airlines Co.,3,161138026,0,0,1834713,1834713,162972739,161332466,1834713,163167179,315017449,0,0,4296170,4296170,319313619,315397696,4296170,319693866,2018
2,19805,AA,AA,American Airlines Inc.,3,163176583,31153826,21936945,44993754,98084525,261261108,163705922,98240465,261946387,320337213,62220618,43790860,94212692,200224170,520561383,321390510,200591763,521982273,2018
2,19930,AS,AS,Alaska Airlines Inc.,3,51807689,0,0,1345887,1345887,53153576,51844705,1345887,53190592,110059390,0,0,3095810,3095810,113155200,110131726,3095810,113227536,2018
2,19790,DL,DL,Delta Air Lines Inc.,3,148189448,40541056,25331999,27498466,93371521,241560969,149957685,93583853,243541538,303310994,82978567,51848995,56283272,191110834,494421828,308111950,191545431,499657381,2018
2,19977,UA,UA,United Air Lines Inc.,3,112265317,45864734,49097012,27092594,122054340,234319657,113046868,122415882,235462750,223503554,92113254,100380803,57016884,249510941,473014495,225059256,250253729,475312985,2018
2,19393,WN,WN,Southwest Airlines Co.,3,145012888,0,0,1842002,1842002,146854890,145201747,1842002,147043749,291089205,0,0,4363233,4363233,295452438,291461320,4363233,295824553,2018
3,19805,AA,AA,American Airlines Inc.,3,182348195,40295922,24251327,50939305,115486554,297834749,183156469,115749775,298906244,350495737,79156948,47816591,104139931,231113470,581609207,352054533,231705618,583760151,2018
3,19930,AS,AS,Alaska Airlines Inc.,3,59506677,0,0,1541993,1541993,61048670,59544847,1541993,61086840,125875596,0,0,3480382,3480382,129355978,125950923,3480382,129431305,2018
3,20409,B6,B6,JetBlue Airways,3,56332511,0,0,13250153,13250153,69582664,56342861,13250153,69593014,115122701,0,0,27078384,27078384,142201085,115143298,27078384,142221682,2018
3,19790,DL,DL,Delta Air Lines Inc.,3,179103474,49612332,29766902,31089280,110468514,289571988,181163772,110714430,291878202,339503165,94043646,56425245,58931905,209400796,548903961,344828575,209866945,554695520,2018
3,20416,NK,NK,Spirit Air Lines,3,30875049,0,0,2757902,2757902,33632951,30875049,2757902,33632951,64480985,0,0,5759739,5759739,70240724,64480985,5759739,70240724,2018
3,19977,UA,UA,United Air Lines Inc.,3,134540010,54703635,55557792,33298314,143559741,278099751,135411162,143911573,279322735,260560325,107857199,111449674,68136689,287443562,548003887,262245488,288171799,550417287,2018
3,19393,WN,WN,Southwest Airlines Co.,3,176770081,0,0,2506139,2506139,179276220,177101321,2506139,179607460,345317146,0,0,5805615,5805615,351122761,345962204,5805615,351767819,2018
4,19805,AA,AA,American Airlines Inc.,3,176468697,51179339,22496487,46909471,120585297,297053994,177072576,120711716,297784292,347767028,105289745,45566263,98660138,249516146,597283174,348977443,249795156,598772599,2018
4,19930,AS,AS,Alaska Airlines Inc.,3,59350238,0,0,1353204,1353204,60703442,59465945,1353204,60819149,132713732,0,0,3253819,3253819,135967551,132949288,3253819,136203107,2018
4,19790,DL,DL,Delta Air Lines Inc.,3,170927843,58989025,28253409,25686058,112928492,283856335,172728275,113091077,285819352,371620292,128250134,61426740,55844971,245521845,617142137,376793506,245875326,622668832,2018
4,19977,UA,UA,United Air Lines Inc.,3,137000974,58942182,50977138,30101170,140020490,277021464,137776920,140296801,278073721,279219252,120581748,103947624,63412940,287942312,567161564,280800266,288504684,569304950,2018
4,19393,WN,WN,Southwest Airlines Co.,3,174522477,0,0,1928657,1928657,176451134,174739867,1928657,176668524,348976261,0,0,4712631,4712631,353688892,349419128,4712631,354131759,2018
5,19805,AA,AA,American Airlines Inc.,3,186106245,62265586,22728524,46970482,131964592,318070837,186850065,132104815,318954880,393997862,137128182,48973657,106109616,292211455,686209317,395581378,292526294,688107672,2018
5,19930,AS,AS,Alaska Airlines Inc.,3,61933139,0,0,1114398,1114398,63047537,62005379,1114398,63119777,147844556,0,0,2859173,2859173,150703729,148001060,2859173,150860233,2018
5,20409,B6,B6,JetBlue Airways,3,59886378,0,0,12806070,12806070,72692448,59886993,12806070,72693063,140044856,0,0,29947114,29947114,169991970,140046184,29947114,169993298,2018
5,19790,DL,DL,Delta Air Lines Inc.,3,179707450,72323728,29951565,24469943,126745236,306452686,180873427,126783203,307656630,379472769,152719798,63246145,51671075,267637018,647109787,383353725,267717190,651070915,2018
5,19977,UA,UA,United Air Lines Inc.,3,144733258,71171452,53160067,26379967,150711486,295444744,145503793,150907996,296411789,314823949,155296421,115496674,59778228,330571323,645395272,316490599,331008555,647499154,2018
5,19393,WN,WN,Southwest Airlines Co.,3,179255111,0,0,2389534,2389534,181644645,179450601,2389534,181840135,379119974,0,0,6220628,6220628,385340602,379542553,6220628,385763181,2018
6,19805,AA,AA,American Airlines Inc.,3,191942315,64232934,22781389,47708094,134722417,326664732,192398584,134879165,327277749,413054909,140545702,49883726,110748337,301177765,714232674,414037019,301536312,715573331,2018
6,19790,DL,DL,Delta Air Lines Inc.,3,189495124,80318068,30101654,24307025,134726747,324221871,190645694,134726747,325372441,410200016,173864488,65161038,52617408,291642934,701842950,414219712,291642934,705862646,2018
6,20368,G4,G4,Allegiant Air,3,18141824,0,0,0,0,18141824,18589560,153122,18742682,43754907,0,0,0,0,43754907,44832095,394270,45226365,2018
6,19977,UA,UA,United Air Lines Inc.,3,154057193,74378497,51889734,29820882,156089113,310146306,154622048,156605254,311227302,335404346,164146251,115949116,68959417,349054784,684459130,336639088,350209934,686849022,2018
6,19393,WN,WN,Southwest Airlines Co.,3,181821721,0,0,2965799,2965799,184787520,182164105,2965799,185129904,394590744,0,0,7725539,7725539,402316283,395344788,7725539,403070327,2018
7,19805,AA,AA,American Airlines Inc.,3,200042968,67329061,23027563,49779586,140136210,340179178,200585393,140497057,341082450,423967100,146275520,49829459,113685180,309790159,733757259,425117748,310608798,735726546,2018
7,19790,DL,DL,Delta Air Lines Inc.,3,200213045,84099095,32711580,25557523,142368198,342581243,201400497,142368198,343768695,451143804,189502066,73709616,57589246,320800928,771944732,455203610,320800928,776004538,2018
7,19690,HA,HA,Hawaiian Airlines Inc.,3,16483215,0,7612779,0,7612779,24095994,16483215,7612779,24095994,35609790,0,16437310,0,16437310,52047100,35609790,16437310,52047100,2018
7,20416,NK,NK,Spirit Air Lines,3,35033773,0,0,3763318,3763318,38797091,35033773,3763318,38797091,82463340,0,0,8858188,8858188,91321528,82463340,8858188,91321528,2018
7,19977,UA,UA,United Air Lines Inc.,3,160016487,77508590,54291137,33340918,165140645,325157132,160622317,165858940,326481257,345244327,167717577,118654194,75241918,361613689,706858016,346587636,363233047,709820683,2018
7,19393,WN,WN,Southwest Airlines Co.,3,188793142,0,0,3010578,3010578,191803720,189080213,3010578,192090791,401007391,0,0,7786048,7786048,408793439,401635906,7786048,409421954,2018
8,19805,AA,AA,American Airlines Inc.,3,200031244,65854434,22786302,45700050,134340786,334372030,200453516,134484089,334937605,425451929,142983221,49435800,105148593,297567614,723019543,426346992,297885732,724232724,2018
8,19790,DL,DL,Delta Air Lines Inc.,3,200758995,84633994,33898461,24013626,142546081,343305076,202074912,142546081,344620993,437347815,184372771,73846842,52313008,310532621,747880436,441798512,310532621,752331133,2018
8,19977,UA,UA,United Air Lines Inc.,3,159273291,75836175,53503498,28912077,158251750,317525041,160321024,158683197,319004221,344423320,164053458,117380657,65302471,346736586,691159906,346659053,347764669,694423722,2018
8,19393,WN,WN,Southwest Airlines Co.,3,177342030,0,0,1929501,1929501,179271531,177680219,1929501,179609720,384095562,0,0,4971658,4971658,389067220,384841985,4971658,389813643,2018
9,19805,AA,AA,American Airlines Inc.,3,181028818,62601948,21646081,36416887,120664916,301693734,181531340,120782036,302313376,394119266,139087701,47649727,84268973,271006401,665125667,395202923,271291326,666494249,2018
9,19930,AS,AS,Alaska Airlines Inc.,3,56391507,0,0,752169,752169,57143676,56481306,752169,57233475,137146554,0,0,2040984,2040984,139187538,137345335,2040984,139386319,2018
9,19790,DL,DL,Delta Air Lines Inc.,3,168810136,73208446,30517023,19504711,123230180,292040316,170130440,123230180,293360620,376816470,163415237,68119824,43538241,275073302,651889772,380946080,275073302,656019382,2018
9,19977,UA,UA,United Air Lines Inc.,3,141269610,72072743,49587966,20822947,142483656,283753266,142507092,142776452,285283544,313606314,159197498,110178721,48133920,317510139,631116453,316362926,318139121,634502047,2018
9,19393,WN,WN,Southwest Airlines Co.,3,162637319,0,0,1341792,1341792,163979111,162847237,1341792,164189029,348297781,0,0,3591438,3591438,351889219,348776993,3591438,352368431,2018
10,19805,AA,AA,American Airlines Inc.,3,190202031,57757546,21654872,39482119,118894537,309096568,190720066,119106263,309826329,429957231,133999533,49571359,94049599,277620491,707577722,431121618,278144436,709266054,2018
10,19930,AS,AS,Alaska Airlines Inc.,3,58513201,0,0,935097,935097,59448298,58606470,935097,59541567,148456459,0,0,2720459,2720459,151176918,148672193,2720459,151392652,2018
10,19790,DL,DL,Delta Air Lines Inc.,3,175617975,65797081,28483623,20307172,114587876,290205851,177956053,114942532,292898585,428203416,160430814,69450661,49514297,279395772,707599188,435327025,280260519,715587544,2018
10,20368,G4,G4,Allegiant Air,3,13946435,0,0,0,0,13946435,14585655,126136,14711791,35643562,0,0,0,0,35643562,37359514,353980,37713494,2018
10,20416,NK,NK,Spirit Air Lines,3,28643322,0,0,3076857,3076857,31720179,28643322,3076857,31720179,71707595,0,0,7702809,7702809,79410404,71707595,7702809,79410404,2018
10,19977,UA,UA,United Air Lines Inc.,3,148705915,69162069,53152792,23637495,145952356,294658271,149747679,146120837,295868516,343661677,159995468,123497735,56781862,340275065,683936742,346072250,340674562,686746812,2018
10,19393,WN,WN,Southwest Airlines Co.,3,175167101,0,0,1525109,1525109,176692210,175403853,1525109,176928962,385415886,0,0,4290762,4290762,389706648,385961453,4290762,390252215,2018
11,19805,AA,AA,American Airlines Inc.,3,178278460,35663616,20467960,40184086,96315662,274594122,178774406,96435227,275209633,381041941,78227639,45705316,92186994,216119949,597161890,382093421,216400743,598494164,2018
11,19930,AS,AS,Alaska Airlines Inc.,3,56872621,0,0,1161601,1161601,58034222,56957076,1161601,58118677,138539021,0,0,3226627,3226627,141765648,138728248,3226627,141954875,2018
11,20409,B6,B6,JetBlue Airways,3,55670522,0,0,13234946,13234946,68905468,55678447,13234946,68913393,127924013,0,0,30412278,30412278,158336291,127942795,30412278,158355073,2018
11,19790,DL,DL,Delta Air Lines Inc.,3,166544649,46264522,27655626,20185262,94105410,260650059,168745755,94572449,263318204,409718189,113815823,68035887,49657968,231509678,641227867,416274199,232658645,648932844,2018
11,19977,UA,UA,United Air Lines Inc.,3,137562940,54546724,53370698,26748257,134665679,272228619,138755009,135045450,273800459,304097370,121997544,124119300,63654648,309771492,613868862,306790501,310650314,617440815,2018
12,19805,AA,AA,American Airlines Inc.,3,183225048,39666096,20612267,47518703,107797066,291022114,183950477,108065723,292016200,345960844,75797308,40400670,97609584,213807562,559768406,347350008,214357788,561707796,2018
12,19930,AS,AS,Alaska Airlines Inc.,3,58351163,0,0,1247068,1247068,59598231,58393891,1247068,59640959,124274679,0,0,2981090,2981090,127255769,124358971,2981090,127340061,2018
12,20409,B6,B6,JetBlue Airways,3,58371808,0,0,15760954,15760954,74132762,58371808,15760954,74132762,116905050,0,0,31565497,31565497,148470547,116905050,31565497,148470547,2018
12,19790,DL,DL,Delta Air Lines Inc.,3,169260696,49938304,28205026,26005274,104148604,273409300,171295959,104193282,275489241,414326853,122242084,69042016,63657326,254941426,669268279,420310062,255050793,675360855,2018
12,19977,UA,UA,United Air Lines Inc.,3,142854724,56029877,55780672,32776274,144586823,287441547,143930940,144825950,288756890,275410791,109397007,113811159,68269995,291478161,566888952,277512225,291961751,569473976,2018
12,19393,WN,WN,Southwest Airlines Co.,3,173203901,0,0,2440902,2440902,175644803,173448291,2440902,175889193,351339537,0,0,5730304,5730304,357069841,351820604,5730304,357550908,2018
